Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  Abraham Lincoln,1864,w,R,-0.028896158230053787,-0.04481757138929528,-0.004152472397274265,6078
  Andrew Johnson,1865,w,D,-0.03756773775113696,-0.052297761602171054,-0.007013795156870157,9259
  Andrew Johnson,1866,w,D,-0.017167525588866688,-0.04524837346590784,-0.009247031899706507,7171
  Andrew Johnson,1867,w,D,-0.012652506920781665,-0.03912194933986783,0.0004202095707014353,12040
  Andrew Johnson,1868,w,D,-0.033703493197978315,-0.04865891803738038,5.4527975894899574e-05,9893
  Ulysses S. Grant,1869,w,R,-0.01929026384920547,-0.055933937090478975,-0.01930806985336611,7771
  Ulysses S. Grant,1870,w,R,-0.02698377881260057,-0.05346172411540267,-0.014275780603246028,8798
  Ulysses S. Grant,1871,w,R,-0.012903358149214235,-0.05019730370708739,-0.005889723202635576,6538
  Ulysses S. Grant,1872,w,R,-0.03250695829094109,-0.038788636615238736,-0.006389596355439618,4048
  Ulysses S. Grant,1873,w,R,-0.018566630569472803,-0.04898778291734672,-0.009365865874424026,10134
  Ulysses S. Grant,1874,w,R,-0.03675262105730207,-0.050812590503012775,-0.007882070314590865,9261
  Ulysses S. Grant,1875,w,R,-0.02433842650136935,-0.048796843441506164,-0.005797087059360075,12320
  Ulysses S. Grant,1876,w,R,-0.030829127533151326,-0.049839680833707004,-0.016008194464009966,6870
  Rutherford B. Hayes,1877,w,R,-0.02572743534233754,-0.0412471445586502,0.006504595515291979,8085
  Rutherford B. Hayes,1878,w,R,-0.02216684228525743,-0.05234821490128315,-0.004219227731831013,7957
  Rutherford B. Hayes,1879,w,R,-0.02338118908378885,-0.04905569185660848,-0.013186057265813775,11749
  Rutherford B. Hayes,1880,w,R,-0.021813207869006587,-0.06099585961118699,-0.014198321978774596,6766
  Chester A. Arthur,1881,w,R,-0.017483812502227965,-0.033900506652787,-0.015898248817329607,3921
  Chester A. Arthur,1882,w,R,-0.03586801031724109,-0.03517104165866073,-0.002563469698770726,3160
  Chester A. Arthur,1883,w,R,-0.044966183171066244,-0.03402164966141095,-0.0016507432099883146,3897
  Chester A. Arthur,1884,w,R,-0.03206317513104136,-0.059137209178315636,-0.0008173756031167991,9121
  Grover Cleveland,1885,w,D,-0.03634106238312811,-0.043357971844130774,-0.006744884429307842,20006
  Grover Cleveland,1886,w,D,-0.02527243508850873,-0.0425159089796278,-0.004312653050795526,15351
  Grover Cleveland,1887,w,D,-0.029549855856484508,-0.03461437242167027,0.004163871601827565,5336
  Grover Cleveland,1888,w,D,-0.04053137560031297,-0.04268038026502885,0.006095715215040206,9167
  Benjamin Harrison,1889,w,R,-0.031016687872871,-0.05094930792592036,0.0043708453129028026,13141
  Benjamin Harrison,1890,w,R,-0.0486607040841108,-0.034510775732940535,0.0005626439282377469,11624
  Benjamin Harrison,1891,w,R,-0.04173347368362136,-0.04560778906205763,-0.007726024749607207,16416
  Benjamin Harrison,1892,w,R,-0.01996653607501258,-0.034132704985190714,-0.004090926332374818,13783
  William McKinley,1897,w,R,-0.03524637158615791,-0.05193624258932667,-0.002602103589450665,12208
  William McKinley,1898,w,R,-0.033071214433997305,-0.05594989082917089,-0.013470262780715715,20402
  William McKinley,1899,w,R,-0.03848275244247596,-0.04296657072017814,-0.013864772015429249,15294
  William McKinley,1900,w,R,-0.029325143340969487,-0.04770528778194508,-0.008896959304435507,19373
  Theodore Roosevelt,1901,w,R,-0.04478030577601257,-0.03468328636969266,0.01495492151616182,19755
  Theodore Roosevelt,1902,w,R,-0.016941057805654837,-0.04371679640898916,0.008060050523675772,9830
  Theodore Roosevelt,1903,w,R,-0.023402006094905337,-0.04547707349943842,-0.0022304687384985186,14961
  Theodore Roosevelt,1904,w,R,-0.03536558389451642,-0.03830920763156732,0.008416307789025435,17526
  Theodore Roosevelt,1905,w,R,-0.02562272683036189,-0.02714567734298387,0.009745492147714654,25154
  Theodore Roosevelt,1906,w,R,-0.03260345731499747,-0.049867725372063854,0.0036649609993679075,23690
  Theodore Roosevelt,1907,w,R,-0.020197591466686534,-0.03961222865736196,0.005945407040921439,27527
  Theodore Roosevelt,1908,w,R,-0.02418089755937329,-0.04036717833340464,0.009457553743557303,19518
  William H. Taft,1909,w,R,-0.032998706080732174,-0.04107781370602222,-0.004623109351716071,14033
  William H. Taft,1910,w,R,-0.00028522063419472027,-0.041674814833933885,-0.011920067282861685,6867
  William H. Taft,1911,w,R,-0.03275018481950975,-0.047162781166890363,-0.0038546754557518765,24008
  William H. Taft,1912,w,R,-0.03388809996166553,-0.03748141238402574,-0.012176796190291203,25379
  Woodrow Wilson,1913,s,D,-0.044203647482230615,-0.008253659708322321,0.0033689721361711855,3576
  Woodrow Wilson,1914,s,D,-0.12431938202458195,-0.01506114204286189,-0.030260609741747605,4564
  Woodrow Wilson,1915,s,D,-0.028715046953890114,-0.05709044682133832,-0.011501672652573375,7729
  Woodrow Wilson,1916,s,D,-0.06586892511033288,-0.053267026589805797,-0.0016643116465099575,2152
  Woodrow Wilson,1917,s,D,0.008883336222988876,-0.019898099991962216,-0.007016861680604452,3954
  Woodrow Wilson,1918,s,D,-0.01582830829836114,-0.02765604520444638,-0.0056032171331703035,5498
